,xAcc,yAcc,zAcc
0,0.019,-0.4844,0.875
1,0.0173,-0.4861,0.8828
2,0.0259,-0.489,0.8845
3,0.0239,-0.481,0.887
4,0.0283,-0.4783,0.8845
5,0.0237,-0.489,0.885
6,0.0256,-0.4954,0.8884
7,0.0291,-0.4946,0.8838
8,0.0227,-0.4939,0.8848
9,0.0227,-0.4929,0.8862
10,0.0229,-0.4851,0.887
11,0.0239,-0.4827,0.8926
12,0.0183,-0.4829,0.8867
13,0.02,-0.4849,0.8867
14,0.0271,-0.49,0.8821
15,0.0232,-0.4875,0.8831
16,0.0225,-0.4924,0.8901
17,0.0247,-0.4941,0.8875
18,0.0225,-0.49,0.8875
19,0.0251,-0.4797,0.8867
20,0.03,-0.47,0.884
21,0.0334,-0.4751,0.8823
22,0.0347,-0.4734,0.8875
23,0.03,-0.4775,0.8853
24,0.0308,-0.4888,0.8862
25,0.0227,-0.4912,0.8911
26,0.0254,-0.4966,0.8896
27,0.03,-0.4888,0.8938
28,0.0254,-0.4695,0.8896
29,0.0356,-0.4702,0.897
30,0.0293,-0.4861,0.9001
31,0.0403,-0.4688,0.9224
32,0.0095,-0.4487,0.9285
33,0.0344,-0.4939,0.7827
34,0.0132,-0.3997,0.8279
35,0.0034,-0.4072,0.9204
36,0.0491,-0.3101,0.9219
37,0.0466,-0.2825,0.8667
38,-0.0076,-0.167,0.8533
39,-0.0757,-0.1372,1.1399
40,-0.0205,-0.3809,1.0293
41,-0.0327,-0.2244,0.8894
42,-0.0657,0.4524,0.7676
43,-0.0591,0.1438,0.2432
44,-0.0474,-0.1582,1.115
45,-0.0479,-0.1238,1.1724
46,-0.1428,-0.1646,0.8157
47,-0.0881,-0.0339,0.9387
48,-0.0679,0.093,0.9431
49,-0.0852,0.0911,0.8789
50,-0.0566,0.1453,1.0349
51,-0.0811,-0.0725,1.0667
52,-0.0889,-0.217,1.042
53,-0.0657,-0.1245,1.0369
54,-0.0688,0.0161,1.0696
55,-0.075,0.085,1.0815
56,0.0024,0.0479,1.0696
57,-0.0332,-0.042,1.0862
58,-0.1035,-0.104,1.1887
59,-0.0488,-0.0713,1.311
60,0.0049,-0.0403,0.9221
61,-0.0059,0.0984,0.9763
62,-0.0188,0.1687,1.052
63,-0.071,-0.0403,1.197
64,-0.0151,-0.1675,1.1917
65,-0.0208,-0.0298,1.2456
66,-0.0654,0.0337,1.2759
67,-0.0378,0.0654,1.2749
68,-0.0332,0.002,1.2859
69,-0.0581,-0.019,1.3022
70,-0.074,-0.0828,1.2688
71,-0.0483,-0.0527,1.2175
72,-0.0352,0.0127,1.2297
73,-0.0513,0.0667,1.2588
74,-0.0652,0.03,1.2405
75,-0.0718,-0.0288,1.2214
76,-0.0754,-0.0647,1.2251
77,-0.0938,-0.0276,1.1873
78,-0.0874,0.0376,1.2151
79,-0.0991,0.0615,1.2144
80,-0.1021,0.0112,1.1772
81,-0.103,-0.0364,1.1575
82,-0.1189,-0.0444,1.1465
83,-0.1201,-0.011,1.127
84,-0.1091,0.0188,1.1118
85,-0.1191,0.0254,1.0947
86,-0.124,0.0215,1.0735
87,-0.1292,-0.011,1.0613
88,-0.1235,-0.0247,1.0488
89,-0.1165,-0.0117,1.0332
90,-0.1118,0.0234,1.012
91,-0.104,0.0405,0.99
92,-0.0991,0.0208,0.9875
93,-0.0962,0.0029,0.978
94,-0.0803,0.0,0.9587
95,-0.0786,-0.0027,0.9299
96,-0.0681,0.0125,0.9263
97,-0.0691,0.0251,0.8984
98,-0.0684,0.0381,0.8677
99,-0.0569,0.031,0.8943
100,-0.0505,0.0139,0.9019
101,-0.0474,0.0122,0.8972
102,-0.052,0.0222,0.8923
103,-0.0447,0.0227,0.8845
104,-0.0435,0.0251,0.8853
105,-0.0432,0.0295,0.8945
106,-0.0435,0.03,0.8948
107,-0.0447,0.0325,0.9072
108,-0.0503,0.0327,0.9207
109,-0.0464,0.0225,0.9285
110,-0.0544,0.0166,0.9194
111,-0.0637,0.0222,0.9507
112,-0.0679,0.0208,0.9541
113,-0.0671,0.0264,0.97
114,-0.0774,0.0232,0.9883
115,-0.073,0.0225,0.998
116,-0.0759,0.0208,1.0032
117,-0.0813,0.0115,1.0298
118,-0.0701,0.0112,1.0437
119,-0.0654,0.0151,1.0632
120,-0.072,0.0117,1.0869
121,-0.0723,0.0129,1.0928
122,-0.063,0.0115,1.1101
123,-0.0684,0.0125,1.1265
124,-0.0608,0.0183,1.1543
125,-0.0615,0.0188,1.1609
126,-0.0605,0.0073,1.1687
127,-0.052,0.0222,1.2144
128,-0.0667,0.0227,1.2217
129,-0.0637,0.0112,1.2346
130,-0.0566,-0.011,1.189
131,-0.0527,0.0127,1.2385
132,-0.062,0.0259,1.2512
133,-0.0632,0.0112,1.2517
134,-0.064,0.0063,1.2437
135,-0.0569,-0.0039,1.2424
136,-0.0635,0.0037,1.2424
137,-0.0662,0.0042,1.2537
138,-0.062,0.0103,1.2361
139,-0.0637,0.0063,1.2393
140,-0.0688,0.0046,1.2258
141,-0.0603,0.0044,1.2158
142,-0.0632,-0.0017,1.2087
143,-0.0591,0.0056,1.2126
144,-0.0647,0.0127,1.1899
145,-0.0605,-0.0046,1.1877
146,-0.0635,-0.0046,1.1465
147,-0.0676,0.0034,1.1497
148,-0.0618,0.0054,1.1321
149,-0.0625,0.01,1.1238
150,-0.0605,0.0059,1.0933
151,-0.0659,-0.0042,1.0762
152,-0.0645,-0.01,1.0647
153,-0.0684,0.0212,1.1411
154,-0.0698,0.0164,1.0662
155,-0.0618,-0.0073,0.9729
156,-0.0684,-0.0088,0.9924
157,-0.0664,-0.0115,0.9731
158,-0.0649,0.0002,0.9617
159,-0.0625,-0.0078,0.9495
160,-0.0635,-0.0068,0.9312
161,-0.0579,-0.0144,0.9216
162,-0.0684,-0.0105,0.9126
163,-0.0623,-0.0149,0.9014
164,-0.0588,0.0046,0.8962
165,-0.0627,0.0015,0.9146
166,-0.0603,-0.0203,0.9258
167,-0.0557,-0.0276,0.8787
168,-0.0522,-0.0132,0.8743
169,-0.041,-0.0088,0.8892
170,-0.0425,-0.0269,0.8972
171,-0.0452,-0.0295,0.8711
172,-0.041,-0.0259,0.8933
173,-0.0356,-0.0176,0.9106
174,-0.0369,-0.0244,0.9155
175,-0.032,-0.0259,0.9231
176,-0.0288,-0.0186,0.9314
177,-0.0327,-0.0222,0.9414
178,-0.0322,-0.0254,0.9622
179,-0.0281,-0.022,0.9729
180,-0.0266,-0.0237,0.9839
181,-0.0349,-0.0247,1.0073
182,-0.0371,-0.0244,1.0166
183,-0.0366,-0.0259,1.0352
184,-0.0391,-0.0271,1.0515
185,-0.0386,-0.0139,1.0703
186,-0.04,-0.0132,1.0818
187,-0.0369,-0.0168,1.0979
188,-0.0437,-0.0247,1.1218
189,-0.0525,-0.0149,1.1311
190,-0.0522,-0.0139,1.1423
191,-0.0522,-0.0125,1.1587
192,-0.0522,-0.0044,1.1753
193,-0.0579,-0.0032,1.1702
194,-0.0635,-0.0017,1.2039
195,-0.0618,-0.0122,1.2034
196,-0.0703,-0.0115,1.2175
197,-0.0732,-0.0007,1.23
