,xAcc,yAcc,zAcc
0,0.0648,0.0234,-9.1967
1,0.0031,-0.0182,-9.1682
2,-0.0043,-0.0232,-9.1333
3,0.0658,0.0169,-9.1654
4,0.03,0.0084,-9.1558
5,0.0093,-0.0095,-9.1457
6,0.0733,0.0086,-9.1429
7,0.0243,0.0103,-9.1511
8,-0.0056,-0.0061,-9.193
9,0.0685,0.0101,-9.1918
10,0.0435,0.0095,-9.1578
11,0.0176,-0.0101,-9.1652
12,0.0799,0.0059,-9.1892
13,0.0528,0.0108,-9.1743
14,-0.0124,-0.0153,-9.1606
15,0.0398,-0.0011,-9.1612
16,0.0442,0.0053,-9.1679
17,-0.0057,-0.0286,-9.1353
18,0.0399,-0.0217,-9.101
19,0.0328,-0.0029,-9.1107
20,-0.0172,-0.0241,-9.1376
21,0.0418,-0.013,-9.1518
22,0.0719,0.0178,-9.1321
23,0.0061,-0.0077,-9.1299
24,0.0494,-0.0067,-9.1476
25,0.0837,0.0057,-9.1598
26,-0.0098,-0.0273,-9.1572
27,0.0178,-0.0091,-9.1469
28,0.0799,0.0118,-9.1632
29,0.0209,-0.0196,-9.1714
30,0.018,-0.0183,-9.1697
31,0.074,0.0051,-9.1929
32,0.0074,-0.0113,-9.2037
33,0.0023,-0.024,-9.2078
34,0.0772,0.009,-9.2161
35,0.0107,0.003,-9.1626
36,-0.0039,-0.0155,-9.145
37,0.0621,0.0187,-9.1607
38,0.0245,0.014,-9.1494
39,0.0032,-0.0277,-9.147
40,0.0577,-0.0293,-9.1562
41,0.0156,-0.0167,-9.1845
42,0.0005,-0.0065,-9.1775
43,0.0912,0.0151,-9.1508
44,0.0519,0.0147,-9.139
45,-0.0027,-0.0021,-9.1318
46,0.0723,0.0231,-9.1355
47,0.0532,0.0364,-9.1708
48,-0.0065,0.0115,-9.1946
49,0.0636,0.016,-9.1691
50,0.0708,0.0072,-9.1591
51,0.0149,-0.024,-9.1657
52,0.0663,-0.0045,-9.1657
53,0.0665,0.019,-9.1916
54,-0.0166,-0.0064,-9.174
55,0.0319,-0.005,-9.1323
56,0.0827,0.0111,-9.139
57,0.0109,-0.0021,-9.1559
58,0.0262,0.0111,-9.1569
59,0.0731,0.0248,-9.1648
60,0.0207,-0.0146,-9.1841
61,0.0475,-0.0272,-9.1612
62,0.091,-0.0106,-9.1518
63,0.0009,-0.013,-9.1804
64,-0.0123,0.0062,-9.1717
65,0.0677,0.0195,-9.1619
66,0.0179,-0.007,-9.1653
67,0.0042,-0.0129,-9.1693
68,0.0751,0.0207,-9.1756
69,0.0179,0.0301,-9.1782
70,-0.0129,0.0087,-9.1996
71,0.0727,0.0254,-9.2013
72,0.0325,0.0054,-9.1742
73,-0.0067,-0.0227,-9.1666
74,0.0823,0.0224,-9.1556
75,0.0559,0.0326,-9.1602
76,0.0074,-0.0027,-9.1691
77,0.0825,0.0045,-9.1425
78,0.0759,0.0123,-9.1564
79,-0.0075,-0.0152,-9.1829
80,0.041,0.0071,-9.1796
81,0.0389,0.022,-9.1518
82,-0.0272,0.0069,-9.1242
83,0.0451,0.0301,-9.1431
84,0.0695,0.0385,-9.1515
85,0.0091,-0.0035,-9.1393
86,0.0476,-0.0067,-9.1499
87,0.0723,0.0135,-9.1615
88,0.0133,0.0147,-9.1403
89,0.0526,0.0247,-9.1129
90,0.0884,0.0468,-9.1035
91,0.0006,0.0366,-9.1278
92,0.0206,0.0262,-9.1488
93,0.0899,0.0399,-9.1695
94,0.0118,0.0121,-9.1685
95,0.0085,0.0191,-9.1641
96,0.0725,0.0614,-9.1806
97,0.0174,0.0302,-9.1782
98,0.0052,-0.0215,-9.1771
99,0.0734,0.0025,-9.1649
100,0.0313,0.0171,-9.1552
101,-0.0013,0.0011,-9.1433
102,0.0671,0.0133,-9.1578
103,0.0401,0.007,-9.1507
104,0.0008,0.0009,-9.1271
105,0.0667,0.0138,-9.146
106,0.0482,0.0128,-9.1758
107,-0.0031,0.0065,-9.1838
108,0.0686,0.0205,-9.1714
109,0.0616,0.0174,-9.1797
110,0.0094,-0.0238,-9.1693
111,0.0879,-0.0082,-9.1618
112,0.0801,-0.0047,-9.1584
113,0.0007,-0.0332,-9.1631
114,0.0617,0.0007,-9.1914
115,0.0769,0.0067,-9.1719
116,0.0065,-0.0232,-9.1415
117,0.039,-0.008,-9.1185
118,0.0584,0.017,-9.116
119,-0.0015,-0.005,-9.1302
120,0.0189,-0.0161,-9.1284
121,0.0691,-0.0033,-9.1439
122,0.022,-0.0082,-9.1597
123,0.041,0.0,-9.1524
124,0.0895,0.0178,-9.1356
125,0.0203,0.0037,-9.1462
126,0.0139,0.0028,-9.1711
127,0.0653,0.0168,-9.1902
128,0.0153,0.0023,-9.1945
129,-0.0007,0.007,-9.2027
130,0.08,0.0184,-9.2088
131,0.0327,-0.0193,-9.2017
132,-0.0041,-0.0478,-9.1778
133,0.093,-0.0087,-9.1682
134,0.0703,0.0057,-9.1634
135,0.0067,-0.0171,-9.1597
136,0.0634,0.0038,-9.1751
137,0.0526,0.0202,-9.1727
138,0.0064,-0.0169,-9.1686
139,0.0708,-0.012,-9.174
140,0.0788,0.014,-9.1712
141,0.0185,-0.0073,-9.1364
142,0.0507,0.0157,-9.1045
143,0.0545,0.0538,-9.1362
144,0.0045,0.0248,-9.1677
145,0.0574,0.007,-9.1518
146,0.078,0.0247,-9.1539
147,0.0184,0.0029,-9.1476
148,0.0539,-0.0031,-9.1223
149,0.0569,0.0179,-9.1424
150,-0.018,0.0088,-9.1734
151,0.0108,0.0075,-9.158
152,0.0416,0.007,-9.1437
153,-0.0117,-0.0044,-9.1673
154,0.0109,0.0103,-9.1826
155,0.0567,0.0326,-9.1749
156,0.0146,0.0081,-9.1564
157,0.0271,0.0048,-9.1409
158,0.0526,0.0281,-9.1567
159,0.0008,0.0076,-9.1759
160,0.0061,0.0018,-9.179
161,0.0652,0.0243,-9.1726
162,0.0288,0.0199,-9.1532
163,0.0062,0.0067,-9.1511
164,0.0536,0.0278,-9.1689
165,0.002,0.0272,-9.1492
166,-0.0286,0.0045,-9.1408
167,0.0392,0.0095,-9.1502
168,0.0001,0.0141,-9.1168
169,-0.0349,0.0103,-9.1021
170,0.0532,0.029,-9.1186
171,0.0354,0.0166,-9.1444
172,-0.011,-0.0312,-9.1674
173,0.0727,-0.0105,-9.1626
174,0.0734,0.0279,-9.1551
175,0.0053,0.0019,-9.1488
176,0.0593,0.0207,-9.1549
177,0.0575,0.0525,-9.1684
178,-0.0237,0.0158,-9.1624
179,0.0333,-0.0014,-9.1539
180,0.0746,0.0131,-9.153
181,0.0091,0.0152,-9.1488
182,0.0302,0.0155,-9.1569
183,0.0711,0.0249,-9.1786
184,0.0085,-0.0075,-9.1762
185,0.0115,-0.0152,-9.1803
186,0.0702,0.0232,-9.1748
187,0.0171,0.0129,-9.1608
188,0.0215,0.0148,-9.1666
189,0.0736,0.0263,-9.1758
190,0.0153,-0.004,-9.1634
191,0.0334,-0.011,-9.1463
192,0.1103,0.0166,-9.1499
193,0.0487,0.0038,-9.1456
194,0.0215,-0.0171,-9.1122
195,0.0836,-0.0063,-9.1375
196,0.0354,-0.0188,-9.174
197,0.007,-0.0314,-9.1574
198,0.0852,-0.0022,-9.1556
199,0.0623,0.0105,-9.1614
200,0.0162,-0.0002,-9.168
201,0.0769,0.0058,-9.1702
202,0.0702,0.0049,-9.1934
203,0.0134,-0.019,-9.1799
204,0.0665,-0.0051,-9.1315
205,0.0689,0.008,-9.1311
206,0.0071,-0.0256,-9.1358
207,0.0628,-0.0254,-9.1178
208,0.0748,-0.012,-9.1326
209,0.0009,-0.0205,-9.1531
210,0.0453,-0.0143,-9.1262
211,0.0665,0.0166,-9.1229
212,-0.0014,-0.0089,-9.1421
213,0.0449,-0.0306,-9.1567
214,0.082,-0.0169,-9.1571
215,0.0091,-0.0288,-9.1555
216,0.0334,-0.0087,-9.1763
217,0.0723,0.0264,-9.1926
218,-0.0027,-0.0111,-9.1773
219,0.0085,-0.0287,-9.157
220,0.0695,0.0107,-9.1608
221,0.0195,-0.0069,-9.1699
222,0.0188,-0.0215,-9.1626
223,0.0852,-0.0057,-9.136
