,xGyr,yGyr,zGyr
0,-0.000118,-0.000208,-1.2e-05
1,-0.000203,0.000237,-9.6e-05
2,-0.001125,-5e-05,-0.000827
3,-0.000953,0.000151,-0.000605
4,0.000347,1.8e-05,-0.00031
5,0.000502,-0.000847,-0.000146
6,-0.000308,-0.000574,0.000311
7,-0.000601,0.000667,0.000944
8,-1.9e-05,0.001108,-0.000112
9,-0.000732,0.000779,-0.000915
10,-0.001168,0.000872,-0.000897
11,0.000342,0.000833,-0.000704
12,0.000368,0.000545,-0.000268
13,-0.000299,0.000663,0.000296
14,-0.000563,-0.000694,0.001044
15,-0.000867,-9.5e-05,1.4e-05
16,-0.000201,0.001145,-0.000618
17,-0.000322,0.000519,-0.000443
18,-0.001175,0.000932,-7.2e-05
19,-0.001001,0.000468,0.000815
20,-0.001092,-0.001214,0.000268
21,-0.001647,-0.001714,-0.000549
22,-0.000724,-0.000846,0.000215
23,-7.7e-05,0.001086,0.000927
24,-0.000969,0.000813,0.001296
25,-0.000341,-0.001105,0.000964
26,0.001398,-0.000798,0.000342
27,0.001164,-0.000137,-0.000293
28,0.000673,-0.000454,-0.000459
29,2.5e-05,-0.000376,0.000508
30,-0.000305,0.000948,0.000357
31,0.000511,0.000842,4.2e-05
32,-0.000288,-0.0008,0.00078
33,-0.001518,-0.001197,0.000982
34,-0.000857,-0.000282,-0.000143
35,0.000247,0.000696,-3.9e-05
36,-0.000357,0.000113,0.000485
37,-0.00076,0.000444,1.3e-05
38,-1.3e-05,0.001396,0.000246
39,0.000998,0.00063,0.000763
40,0.000888,-0.000388,0.000748
41,0.000236,-0.000915,-0.000387
42,-0.000114,-0.001509,-0.000878
43,-0.000483,-0.000654,0.000207
44,-0.000717,0.000669,0.000307
45,-0.000778,0.00054,-0.000346
46,-5.5e-05,0.000116,-0.00057
47,-5.5e-05,0.00054,-0.001099
48,-0.000124,0.00083,-0.000394
49,-0.000136,-0.000176,0.000608
50,-0.000766,0.0005,0.000876
51,-0.000556,0.00086,-0.000665
52,0.000309,-0.000226,-0.001093
53,0.000202,3.4e-05,-9.1e-05
54,-0.000472,-0.000613,-7.1e-05
55,-0.000472,-0.000345,-0.001018
56,-0.000773,0.000381,-0.000773
57,-0.000137,-0.00105,0.000308
58,0.000491,-0.000546,-0.000298
59,0.000154,0.000391,0.000189
60,-0.00026,0.000524,0.000743
61,-0.00027,0.000606,4.9e-05
62,0.001101,0.000128,-0.000105
63,0.000731,-0.000267,-0.000139
64,0.000677,-0.000612,-0.000245
65,0.000872,-0.00056,-0.000395
66,0.00018,0.00014,0.000149
67,0.000869,0.000233,0.000193
68,0.000388,9e-06,1.2e-05
69,0.000402,-0.000759,2.3e-05
70,0.0005,-0.001405,-0.000551
71,0.00032,-0.000494,-0.000146
72,0.000712,-3.2e-05,0.000314
73,0.000225,0.0012,0.00035
74,-0.000664,0.001871,0.000283
75,-0.000144,0.00068,0.000605
76,0.000328,-3.7e-05,0.000298
77,8.2e-05,-6e-06,-0.00026
78,0.000118,-0.000784,0.000479
79,4.5e-05,-0.001273,-3.8e-05
80,0.000486,-0.00016,-0.000695
81,0.000101,0.000868,8.2e-05
82,-4.1e-05,0.000342,-0.000676
83,2.5e-05,-0.000481,-0.000479
84,0.000267,-0.000441,0.000344
85,0.000973,-0.000661,9.5e-05
86,0.001012,-0.001259,-0.000227
87,0.000421,-0.000733,-0.000741
88,-0.000475,0.000928,-0.000876
89,-0.000904,0.001223,-0.000468
90,-0.00082,0.00075,3.9e-05
91,-0.000507,0.000681,0.000144
92,-0.000414,7e-05,0.000791
93,-0.000704,-0.000425,0.000401
94,4.3e-05,-0.000237,-0.000158
95,0.000609,-0.000812,-0.000586
96,-2.2e-05,-0.000192,-0.001008
97,0.000856,0.000495,0.00022
98,0.001163,-7.1e-05,0.000573
99,3.7e-05,-0.000919,0.000692
100,3.7e-05,-0.000906,0.000652
101,0.000365,-0.000681,0.000276
102,4.7e-05,-0.000479,-0.000809
103,-0.000587,-0.000809,-0.000602
104,0.000634,-0.001037,-0.000157
105,0.001219,-0.000306,-0.000988
106,-0.000518,-2.9e-05,-0.000507
107,-0.000428,2.3e-05,0.000198
108,0.000401,-0.000692,0.000117
109,4e-06,-0.001061,-0.000851
110,0.000233,-0.001046,-0.00072
111,0.00134,-0.00097,0.000211
112,0.001054,-0.001065,0.000653
113,6e-05,-0.000985,0.001425
114,1.2e-05,0.000168,0.000593
115,-5.1e-05,0.00062,-0.000245
116,-6.2e-05,-0.000271,0.001041
117,0.000162,-0.000162,5.2e-05
118,0.000115,0.000173,-0.001531
119,-0.000296,-0.000544,-0.000689
120,-0.000973,-0.000759,0.000213
121,-0.00055,-0.000918,0.000261
122,0.000371,-0.001194,-0.000153
123,0.001075,-0.000281,-2.6e-05
124,0.000835,0.000327,-0.000155
125,-0.000329,0.000195,-0.000205
126,-0.000763,5e-05,-2.5e-05
127,0.00016,-4e-06,-0.000184
128,0.001485,-0.000179,0.000943
129,0.001473,-0.000349,0.000515
130,0.000948,-0.00073,-9.1e-05
131,0.001047,-0.00113,0.00096
132,0.000659,-0.000532,0.000486
133,1.6e-05,-0.000396,-0.000995
134,0.000468,-0.000438,-0.000841
135,0.000294,0.000167,0.000772
136,-0.000397,0.000339,0.000569
137,-0.000354,-0.000109,-9.8e-05
138,-0.000408,0.000141,0.000729
139,-9.5e-05,0.000539,0.000486
140,0.000379,0.000515,-0.00064
141,0.000681,0.00107,-4.5e-05
142,0.000514,0.000723,0.000409
143,-0.000743,0.000486,-0.000664
144,-0.000752,-0.000229,-0.000321
145,-0.000552,-0.000971,0.00014
146,5.3e-05,0.000327,-0.000343
147,0.00058,0.000225,-0.000643
148,0.000448,-0.00049,-0.000457
149,0.000379,-0.000124,0.000264
150,-0.000336,0.000802,6.4e-05
151,-0.000982,0.000871,-0.000646
152,-0.000187,-2.8e-05,-0.000619
153,0.000608,0.000794,-0.000374
154,-0.000521,0.000898,-0.000451
155,-0.000741,-0.000473,2.2e-05
156,-0.000375,-0.00043,0.000458
157,4.3e-05,0.000378,0.000292
158,0.000946,0.000861,0.000676
159,0.000966,0.001128,0.001047
160,0.000232,0.000672,0.000117
161,-0.000689,-2e-06,6.7e-05
162,-0.001123,0.000331,0.000477
