,Yaw,Pitch,Roll
0,-76.547,0.211,-0.003
1,-76.547,0.211,-0.003
2,-76.547,0.21,-0.003
3,-76.547,0.21,-0.003
4,-76.547,0.211,-0.003
5,-76.547,0.21,-0.003
6,-76.547,0.21,-0.003
7,-76.547,0.21,-0.003
8,-76.547,0.21,-0.003
9,-76.547,0.21,-0.003
10,-76.548,0.211,-0.004
11,-76.548,0.211,-0.003
12,-76.548,0.211,-0.003
13,-76.548,0.211,-0.003
14,-76.547,0.211,-0.004
15,-76.548,0.211,-0.004
16,-76.548,0.212,-0.004
17,-76.548,0.212,-0.004
18,-76.548,0.211,-0.003
19,-76.547,0.211,-0.004
20,-76.548,0.211,-0.004
21,-76.548,0.211,-0.004
22,-76.548,0.211,-0.004
23,-76.547,0.211,-0.004
24,-76.547,0.21,-0.004
25,-76.547,0.21,-0.004
26,-76.547,0.211,-0.004
27,-76.547,0.211,-0.003
28,-76.547,0.211,-0.003
29,-76.547,0.211,-0.003
30,-76.547,0.211,-0.003
31,-76.547,0.211,-0.003
32,-76.547,0.211,-0.003
33,-76.547,0.211,-0.003
34,-76.547,0.211,-0.003
35,-76.547,0.211,-0.003
36,-76.547,0.21,-0.003
37,-76.547,0.21,-0.003
38,-76.547,0.211,-0.003
39,-76.547,0.211,-0.003
40,-76.546,0.21,-0.002
41,-76.547,0.21,-0.002
42,-76.547,0.21,-0.002
43,-76.547,0.21,-0.002
44,-76.547,0.211,-0.003
45,-76.547,0.211,-0.003
46,-76.547,0.21,-0.003
47,-76.547,0.21,-0.003
48,-76.547,0.211,-0.003
49,-76.547,0.211,-0.003
50,-76.547,0.212,-0.004
51,-76.547,0.212,-0.004
52,-76.547,0.211,-0.003
53,-76.547,0.211,-0.003
54,-76.547,0.212,-0.004
55,-76.547,0.212,-0.004
56,-76.547,0.212,-0.004
57,-76.547,0.212,-0.004
58,-76.547,0.211,-0.004
59,-76.547,0.211,-0.004
60,-76.547,0.212,-0.004
61,-76.547,0.212,-0.004
62,-76.547,0.213,-0.003
63,-76.547,0.213,-0.004
64,-76.547,0.212,-0.003
65,-76.547,0.212,-0.003
66,-76.547,0.212,-0.003
67,-76.547,0.212,-0.003
68,-76.547,0.212,-0.003
69,-76.547,0.211,-0.003
70,-76.547,0.211,-0.003
71,-76.547,0.211,-0.003
72,-76.547,0.212,-0.004
73,-76.547,0.212,-0.004
74,-76.547,0.211,-0.003
75,-76.547,0.211,-0.003
76,-76.547,0.212,-0.004
77,-76.547,0.212,-0.004
78,-76.547,0.213,-0.004
79,-76.547,0.213,-0.004
80,-76.547,0.212,-0.004
81,-76.547,0.212,-0.004
82,-76.547,0.212,-0.004
83,-76.547,0.212,-0.004
84,-76.547,0.212,-0.005
85,-76.547,0.212,-0.005
86,-76.547,0.211,-0.004
87,-76.547,0.211,-0.005
88,-76.548,0.212,-0.005
89,-76.548,0.213,-0.005
90,-76.548,0.213,-0.006
91,-76.548,0.213,-0.006
92,-76.547,0.212,-0.006
93,-76.547,0.212,-0.007
94,-76.547,0.213,-0.007
95,-76.548,0.213,-0.007
96,-76.548,0.213,-0.008
97,-76.548,0.213,-0.007
98,-76.548,0.213,-0.008
99,-76.547,0.212,-0.008
100,-76.547,0.213,-0.008
101,-76.547,0.213,-0.008
102,-76.548,0.212,-0.008
103,-76.547,0.212,-0.008
104,-76.548,0.212,-0.008
105,-76.548,0.212,-0.008
106,-76.548,0.213,-0.008
107,-76.548,0.213,-0.008
108,-76.548,0.212,-0.008
109,-76.548,0.212,-0.008
110,-76.548,0.212,-0.009
111,-76.548,0.212,-0.008
112,-76.548,0.213,-0.008
113,-76.547,0.213,-0.008
114,-76.548,0.212,-0.007
115,-76.547,0.212,-0.007
116,-76.547,0.213,-0.007
117,-76.547,0.213,-0.007
118,-76.548,0.213,-0.007
119,-76.548,0.213,-0.007
120,-76.548,0.212,-0.007
121,-76.548,0.212,-0.007
122,-76.548,0.213,-0.007
123,-76.548,0.213,-0.007
124,-76.548,0.213,-0.007
125,-76.548,0.213,-0.007
126,-76.548,0.213,-0.007
127,-76.548,0.213,-0.007
128,-76.547,0.213,-0.007
129,-76.548,0.213,-0.007
130,-76.547,0.212,-0.007
131,-76.547,0.212,-0.007
132,-76.547,0.212,-0.006
133,-76.548,0.212,-0.006
134,-76.548,0.213,-0.006
135,-76.547,0.213,-0.006
136,-76.547,0.213,-0.006
137,-76.547,0.213,-0.006
138,-76.547,0.213,-0.006
139,-76.547,0.213,-0.006
140,-76.547,0.214,-0.006
141,-76.547,0.214,-0.006
142,-76.547,0.214,-0.006
143,-76.547,0.214,-0.006
144,-76.547,0.214,-0.007
145,-76.547,0.214,-0.007
146,-76.547,0.214,-0.007
147,-76.548,0.214,-0.007
148,-76.548,0.214,-0.007
149,-76.548,0.214,-0.007
150,-76.548,0.214,-0.007
151,-76.548,0.214,-0.007
152,-76.548,0.214,-0.007
153,-76.548,0.214,-0.007
154,-76.548,0.214,-0.007
155,-76.548,0.213,-0.007
156,-76.548,0.214,-0.008
157,-76.548,0.214,-0.008
158,-76.548,0.214,-0.008
159,-76.547,0.214,-0.008
160,-76.547,0.214,-0.008
161,-76.547,0.214,-0.008
162,-76.547,0.214,-0.008
163,-76.547,0.214,-0.008
164,-76.547,0.214,-0.009
165,-76.547,0.214,-0.009
166,-76.547,0.214,-0.009
167,-76.547,0.214,-0.009
168,-76.548,0.214,-0.009
169,-76.548,0.214,-0.009
170,-76.548,0.213,-0.009
171,-76.548,0.213,-0.009
172,-76.548,0.213,-0.009
173,-76.548,0.213,-0.009
174,-76.548,0.213,-0.009
175,-76.548,0.213,-0.009
176,-76.548,0.213,-0.009
177,-76.548,0.213,-0.009
178,-76.548,0.213,-0.01
179,-76.548,0.213,-0.01
180,-76.548,0.213,-0.01
181,-76.548,0.213,-0.01
182,-76.548,0.212,-0.01
183,-76.548,0.213,-0.01
184,-76.548,0.213,-0.01
185,-76.548,0.213,-0.011
186,-76.548,0.213,-0.01
187,-76.548,0.213,-0.01
188,-76.548,0.212,-0.01
189,-76.548,0.212,-0.01
190,-76.548,0.212,-0.011
