Year,Month,Day,Hour,Minute,Second,FracSec,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Yaw,Pitch,Roll,QuatX,QuatY,QuatZ,QuatS
-20,1,6,1,7,4,683,+0.257,-0.493,+0.314,+00.0648,+00.0234,-09.1967,-00.000118,-00.000208,-00.000012,-076.547,+000.211,-000.003,+0.001118928,+1.45812E-003,-6.19417E-001,+7.85060E-001
-20,1,6,1,7,4,685,+0.257,-0.493,+0.314,+00.0031,-00.0182,-09.1682,-00.000203,+00.000237,-00.000096,-076.547,+000.211,-000.003,+0.001118928,+1.45812E-003,-6.19417E-001,+7.85060E-001
-20,1,6,1,7,4,688,+0.250,-0.493,+0.311,-00.0043,-00.0232,-09.1333,-00.001125,-00.000050,-00.000827,-076.547,+000.210,-000.003,+0.001116588,+1.45504E-003,-6.19418E-001,+7.85060E-001
-20,1,6,1,7,4,690,+0.246,-0.490,+0.311,+00.0658,+00.0169,-09.1654,-00.000953,+00.000151,-00.000605,-076.547,+000.210,-000.003,+0.00111661,+1.45550E-003,-6.19418E-001,+7.85059E-001
-20,1,6,1,7,4,693,+0.246,-0.490,+0.311,+00.0300,+00.0084,-09.1558,+00.000347,+00.000018,-00.000310,-076.547,+000.211,-000.003,+0.001118324,+1.45968E-003,-6.19418E-001,+7.85059E-001
-20,1,6,1,7,4,695,+0.253,-0.495,+0.312,+00.0093,-00.0095,-09.1457,+00.000502,-00.000847,-00.000146,-076.547,+000.210,-000.003,+0.001117311,+1.45820E-003,-6.19418E-001,+7.85059E-001
-20,1,6,1,7,4,698,+0.253,-0.495,+0.312,+00.0733,+00.0086,-09.1429,-00.000308,-00.000574,+00.000311,-076.547,+000.210,-000.003,+0.001115758,+1.45525E-003,-6.19418E-001,+7.85060E-001
-20,1,6,1,7,4,700,+0.251,-0.491,+0.311,+00.0243,+00.0103,-09.1511,-00.000601,+00.000667,+00.000944,-076.547,+000.210,-000.003,+0.001116094,+1.45665E-003,-6.19416E-001,+7.85061E-001
-20,1,6,1,7,4,703,+0.252,-0.486,+0.311,-00.0056,-00.0061,-09.1930,-00.000019,+00.001108,-00.000112,-076.547,+000.210,-000.003,+0.001115487,+1.45725E-003,-6.19418E-001,+7.85059E-001
-20,1,6,1,7,4,705,+0.252,-0.486,+0.311,+00.0685,+00.0101,-09.1918,-00.000732,+00.000779,-00.000915,-076.547,+000.210,-000.003,+0.001113913,+1.45912E-003,-6.19418E-001,+7.85059E-001
