Year,Month,Day,Hour,Minute,Second,FracSec,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Yaw,Pitch,Roll,QuatX,QuatY,QuatZ,QuatS
-20,1,6,1,9,58,940,+0.324,-0.412,+0.343,+00.0112,-00.0106,-09.1792,-00.000985,+00.000498,-00.000877,-078.032,+000.246,-000.018,+0.001230852,+1.76786E-003,-6.29534E-001,+7.76970E-001
-20,1,6,1,9,58,943,+0.329,-0.414,+0.345,+00.0664,+00.0127,-09.1577,-00.000563,+00.000426,+00.000300,-078.032,+000.246,-000.018,+0.001229345,+1.76393E-003,-6.29533E-001,+7.76971E-001
-20,1,6,1,9,58,945,+0.329,-0.414,+0.345,+00.0325,+00.0239,-09.1589,-00.000738,-00.000300,+00.000073,-078.032,+000.246,-000.018,+0.001228102,+1.76469E-003,-6.29534E-001,+7.76970E-001
-20,1,6,1,9,58,948,+0.334,-0.412,+0.344,+00.0094,-00.0111,-09.1587,-00.000729,-00.000614,-00.000275,-078.032,+000.245,-000.018,+0.001224513,+1.76490E-003,-6.29534E-001,+7.76970E-001
-20,1,6,1,9,58,950,+0.324,-0.408,+0.343,+00.0701,+00.0053,-09.1590,-00.000338,-00.000314,+00.000348,-078.032,+000.246,-000.018,+0.001224504,+1.76563E-003,-6.29533E-001,+7.76971E-001
-20,1,6,1,9,58,953,+0.324,-0.408,+0.343,+00.0384,+00.0237,-09.1638,-00.000361,+00.000044,-00.000529,-078.032,+000.246,-000.018,+0.001225967,+1.76880E-003,-6.29535E-001,+7.76970E-001
-20,1,6,1,9,58,955,+0.325,-0.411,+0.345,-00.0110,-00.0149,-09.1513,+00.000167,-00.000351,-00.000632,-078.032,+000.246,-000.018,+0.001226363,+1.76794E-003,-6.29534E-001,+7.76970E-001
-20,1,6,1,9,58,958,+0.325,-0.411,+0.345,+00.0537,+00.0094,-09.1626,+00.000920,+00.000118,+00.001197,-078.031,+000.245,-000.018,+0.001225782,+1.76103E-003,-6.29532E-001,+7.76972E-001
-20,1,6,1,9,58,960,+0.324,-0.408,+0.343,+00.0305,+00.0227,-09.1525,+00.001044,+00.000698,+00.001396,-078.031,+000.245,-000.018,+0.001227332,+1.76109E-003,-6.29532E-001,+7.76972E-001
-20,1,6,1,9,58,963,+0.321,-0.408,+0.343,-00.0100,-00.0064,-09.1470,+00.000395,+00.000306,+00.000391,-078.031,+000.245,-000.018,+0.001224785,+1.76184E-003,-6.29532E-001,+7.76972E-001
-20,1,6,1,9,58,965,+0.321,-0.408,+0.343,+00.0584,+00.0044,-09.1776,-00.000112,-00.000139,-00.000799,-078.032,+000.245,-000.018,+0.001224346,+1.76175E-003,-6.29533E-001,+7.76971E-001
-20,1,6,1,9,58,968,+0.322,-0.411,+0.344,+00.0407,+00.0023,-09.1826,-00.000506,+00.000125,-00.000686,-078.032,+000.246,-000.018,+0.001225068,+1.76493E-003,-6.29533E-001,+7.76971E-001
-20,1,6,1,9,58,970,+0.322,-0.411,+0.344,-00.0191,-00.0295,-09.1476,-00.000652,+00.000919,+00.000076,-078.032,+000.246,-000.018,+0.001225895,+1.76669E-003,-6.29533E-001,+7.76971E-001
-20,1,6,1,9,58,973,+0.325,-0.412,+0.343,+00.0605,-00.0122,-09.1301,+00.000545,+00.000694,-00.000274,-078.032,+000.245,-000.018,+0.001225763,+1.75656E-003,-6.29533E-001,+7.76971E-001
-20,1,6,1,9,58,975,+0.325,-0.413,+0.339,+00.0761,+00.0206,-09.1588,+00.000130,+00.000120,+00.000502,-078.031,+000.245,-000.018,+0.001224884,+1.75786E-003,-6.29532E-001,+7.76972E-001
-20,1,6,1,9,58,978,+0.325,-0.413,+0.339,+00.0070,-00.0180,-09.1539,-00.000851,+00.000583,+00.001169,-078.031,+000.246,-000.018,+0.001226261,+1.76454E-003,-6.29531E-001,+7.76973E-001
-20,1,6,1,9,58,980,+0.328,-0.411,+0.344,+00.0679,-00.0270,-09.1246,-00.000456,+00.000068,+00.001203,-078.031,+000.245,-000.018,+0.001225338,+1.76423E-003,-6.29530E-001,+7.76974E-001
-20,1,6,1,9,58,983,+0.328,-0.411,+0.344,+00.0783,+00.0079,-09.1403,-00.000891,-00.001454,+00.000632,-078.031,+000.246,-000.018,+0.00122759,+1.76362E-003,-6.29530E-001,+7.76974E-001
-20,1,6,1,9,58,985,+0.334,-0.412,+0.334,-00.0055,+00.0003,-09.1504,-00.000373,-00.001145,-00.000426,-078.031,+000.246,-000.018,+0.001228153,+1.76309E-003,-6.29530E-001,+7.76973E-001
-20,1,6,1,9,58,988,+0.329,-0.407,+0.344,+00.0327,+00.0063,-09.1621,-00.000079,-00.000378,-00.000334,-078.031,+000.245,-000.018,+0.001223345,+1.75783E-003,-6.29530E-001,+7.76973E-001
