TimeStartup,TimeGps,TimeSyncIn,Yaw,Pitch,Roll,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,UncompAccX,UncompAccY,UncompAccZ,UncompGyroX,UncompGyroY,UncompGyroZ,MagX,MagY,MagZ,Temperature,Pressure
258740007000,258740007000,258740007000,-144.209,-000.091,+000.156,+00.000870,+00.000082,-00.000244,-00.0134,-00.0408,-09.7598,-00.0134,-00.0408,-09.7598,+00.000873,+00.000187,-00.001422,-0.538,+0.810,+1.242,+036.52,+100.08
258742507000,258742507000,258742507000,-144.209,-000.091,+000.156,+00.000315,-00.000567,-00.000468,-00.0018,-00.0159,-09.7742,-00.0018,-00.0159,-09.7742,+00.000317,-00.000462,-00.001646,-0.534,+0.810,+1.242,+036.52,+100.09
258745007000,258745007000,258745007000,-144.209,-000.091,+000.156,-00.000282,-00.000106,+00.000205,-00.0556,-00.0300,-09.7498,-00.0556,-00.0300,-09.7498,-00.000280,-00.000001,-00.000973,-0.541,+0.809,+1.240,+036.52,+100.09
258747507000,258747507000,258747507000,-144.208,-000.092,+000.156,-00.000561,+00.000091,+00.000534,+00.0073,-00.0176,-09.7463,+00.0073,-00.0176,-09.7463,-00.000559,+00.000196,-00.000644,-0.541,+0.809,+1.240,+036.52,+100.08
258750007000,258750007000,258750007000,-144.209,-000.092,+000.156,+00.000112,-00.000673,-00.000498,+00.0079,-00.0144,-09.7790,+00.0079,-00.0144,-09.7790,+00.000114,-00.000568,-00.001676,-0.546,+0.816,+1.238,+036.52,+100.08
258752507000,258752507000,258752507000,-144.209,-000.091,+000.156,+00.000969,+00.000665,-00.000814,-00.0497,-00.0425,-09.7781,-00.0497,-00.0425,-09.7781,+00.000972,+00.000770,-00.001992,-0.546,+0.816,+1.238,+036.52,+100.09
258755007000,258755007000,258755007000,-144.209,-000.091,+000.157,+00.001075,+00.001037,-00.000086,+00.0020,-00.0373,-09.7628,+00.0020,-00.0373,-09.7628,+00.001077,+00.001143,-00.001264,-0.546,+0.809,+1.237,+036.52,+100.09
258757507000,258757507000,258757507000,-144.209,-000.091,+000.157,+00.000164,-00.000009,+00.000125,-00.0052,-00.0191,-09.7704,-00.0052,-00.0191,-09.7704,+00.000166,+00.000096,-00.001053,-0.540,+0.810,+1.239,+036.52,+100.09
258760007000,258760007000,258760007000,-144.208,-000.091,+000.157,+00.000099,+00.000489,+00.000237,-00.0515,-00.0367,-09.7936,-00.0515,-00.0367,-09.7936,+00.000101,+00.000594,-00.000941,-0.540,+0.810,+1.239,+036.52,+100.08
258762507000,258762507000,258762507000,-144.208,-000.091,+000.157,+00.000431,+00.000170,+00.000497,+00.0136,-00.0357,-09.7822,+00.0136,-00.0357,-09.7822,+00.000433,+00.000275,-00.000681,-0.544,+0.815,+1.239,+036.52,+100.08
258765007000,258765007000,258765007000,-144.208,-000.091,+000.157,+00.000357,+00.000166,+00.000991,+00.0198,-00.0103,-09.7672,+00.0198,-00.0103,-09.7672,+00.000360,+00.000272,-00.000187,-0.544,+0.815,+1.239,+036.52,+100.09
258767507000,258767507000,258767507000,-144.208,-000.090,+000.157,+00.000458,+00.000378,+00.001467,-00.0378,-00.0316,-09.7514,-00.0378,-00.0316,-09.7514,+00.000461,+00.000483,+00.000289,-0.545,+0.810,+1.241,+036.52,+100.09
258770007000,258770007000,258770007000,-144.208,-000.090,+000.157,+00.000027,+00.000063,+00.000939,+00.0000,-00.0370,-09.7360,+00.0000,-00.0370,-09.7360,+00.000029,+00.000168,-00.000239,-0.545,+0.810,+1.241,+036.52,+100.09
258772507000,258772507000,258772507000,-144.208,-000.090,+000.157,+00.000471,+00.000276,+00.000534,-00.0081,-00.0294,-09.7368,-00.0081,-00.0294,-09.7368,+00.000474,+00.000381,-00.000644,-0.547,+0.816,+1.240,+036.52,+100.09
258775007000,258775007000,258775007000,-144.208,-000.090,+000.157,+00.000905,-00.000583,+00.000326,-00.0500,-00.0314,-09.7405,-00.0500,-00.0314,-09.7405,+00.000907,-00.000478,-00.000852,-0.546,+0.815,+1.239,+036.52,+100.09
258777507000,258777507000,258777507000,-144.208,-000.091,+000.158,+00.001213,-00.000092,-00.000275,+00.0238,-00.0124,-09.7537,+00.0238,-00.0124,-09.7537,+00.001216,+00.000013,-00.001453,-0.546,+0.815,+1.239,+036.52,+100.10
258780007000,258780007000,258780007000,-144.208,-000.091,+000.158,+00.001054,+00.001444,-00.000467,+00.0167,-00.0071,-09.7687,+00.0167,-00.0071,-09.7687,+00.001057,+00.001549,-00.001645,-0.546,+0.815,+1.235,+036.52,+100.10
258782507000,258782507000,258782507000,-144.208,-000.090,+000.157,+00.000737,+00.000331,-00.000385,-00.0353,-00.0127,-09.7744,-00.0353,-00.0127,-09.7744,+00.000740,+00.000436,-00.001563,-0.546,+0.815,+1.235,+036.52,+100.09
258785007000,258785007000,258785007000,-144.208,-000.090,+000.157,+00.000648,-00.000819,-00.001013,+00.0151,-00.0051,-09.7853,+00.0151,-00.0051,-09.7853,+00.000650,-00.000714,-00.002191,-0.541,+0.808,+1.241,+036.52,+100.09
258787507000,258787507000,258787507000,-144.208,-000.089,+000.157,+00.000161,-00.000160,-00.000019,-00.0103,-00.0141,-09.7950,-00.0103,-00.0141,-09.7950,+00.000163,-00.000055,-00.001198,-0.544,+0.811,+1.240,+036.52,+100.08
258790007000,258790007000,258790007000,-144.208,-000.089,+000.157,+00.000038,+00.000713,+00.000665,-00.0430,-00.0408,-09.7985,-00.0430,-00.0408,-09.7985,+00.000041,+00.000818,-00.000514,-0.544,+0.811,+1.240,+036.52,+100.08
258792506000,258792506000,258792506000,-144.208,-000.090,+000.157,+00.000166,+00.001101,-00.000627,+00.0209,-00.0253,-09.7982,+00.0209,-00.0253,-09.7982,+00.000168,+00.001206,-00.001805,-0.547,+0.811,+1.239,+036.52,+100.08
258795007000,258795007000,258795007000,-144.208,-000.090,+000.157,-00.000025,+00.000943,-00.001118,-00.0141,-00.0131,-09.7813,-00.0141,-00.0131,-09.7813,-00.000023,+00.001048,-00.002297,-0.547,+0.811,+1.239,+036.52,+100.08
258797507000,258797507000,258797507000,-144.208,-000.090,+000.157,-00.000332,+00.000040,-00.000094,-00.0444,-00.0276,-09.7588,-00.0444,-00.0276,-09.7588,-00.000329,+00.000145,-00.001272,-0.540,+0.810,+1.240,+036.52,+100.08
